ID_Code,Group SD mPFC,Age,Gender
101,1,24,2
102,1,20,2
103,1,28,1
104,1,27,2
105,1,22,1
106,1,22,2
107,1,22,2
108,1,25,1
109,1,23,1
110,1,27,1
111,1,20,1
112,1,23,2
113,1,25,1
114,1,21,2
115,1,20,1
116,1,20,2
117,1,21,2
118,1,28,1
119,1,24,1
120,1,20,2
121,1,29,2
122,1,25,1
123,1,33,1
124,1,33,2
125,1,21,2
126,1,18,1
127,1,26,2
128,1,20,1
129,1,29,1
130,1,25,2
131,1,21,1
132,1,36,1
133,1,22,2
134,1,21,1
135,1,22,2
136,1,29,2
137,1,20,1
138,1,26,1
139,1,22,2
140,1,27,2
141,1,20,2
142,1,22,2
143,1,24,1
144,1,20,2
145,1,21,1
146,1,20,1
147,1,24,2
148,1,22,2
149,1,25,1
150,1,24,2
151,1,22,1
152,1,36,1
153,1,20,1
154,1,21,2
155,1,20,2
156,1,20,1
157,1,21,2
158,1,24,2
159,1,20,1
160,1,20,2
161,1,22,2
162,1,20,1
163,1,21,2
164,1,22,2
165,1,20,1
166,1,20,2
167,1,20,2
168,1,20,2
169,1,20,2
170,1,35,1
171,1,20,2
172,1,27,2
173,1,20,2
174,1,22,2
175,1,20,2
176,1,29,2
177,1,20,2
178,1,21,1
179,1,22,1
180,1,22,2
201,1,68,1
2012,1,75,2
202,1,77,1
203,1,71,2
204,1,67,1
205,1,77,1
206,1,70,2
207,1,73,2
208,1,70,2
209,1,69,2
210,1,70,1
211,1,70,2
212,1,70,1
213,1,64,1
214,1,68,2
215,1,60,2
216,1,71,2
217,1,65,1
218,1,65,2
219,1,64,1
220,1,71,2
221,1,76,1
222,1,64,1
223,1,77,1
224,1,80,2
225,1,76,1
226,1,77,2
227,1,71,1
228,1,74,2
229,1,78,2
230,1,72,1
231,1,70,2
232,1,79,2
233,1,65,2
234,1,67,1
235,1,62,1
236,1,62,2
237,1,73,2
238,1,66,2
239,1,63,2
240,1,62,2
241,1,70,2
242,1,74,2
243,1,67,2
244,1,62,2
245,1,63,2
246,1,67,2
247,1,62,1
248,1,72,1
249,1,64,1
250,1,78,2
251,1,74,2
252,1,76,1
253,1,79,1
254,1,71,1
255,1,71,1
256,1,62,1
257,1,71,1
258,1,70,1
259,1,71,1
260,1,77,1
261,1,63,1
262,1,78,1
263,1,68,1
264,1,69,2
265,1,70,2
266,1,69,1
267,1,60,1
268,1,70,2
269,1,78,1
270,1,62,1
271,1,68,2
272,1,74,2
273,1,,
274,1,68,2
275,1,71,1
276,1,71,1
277,1,79,2
278,1,66,2
279,1,67,2
280,1,75,2
301,3,71,2
302,3,52,1
303,3,49,1
304,3,59,1
305,3,60,1
306,3,61,1
307,3,47,2
308,3,60,2
309,3,54,2
310,3,69,1
311,3,49,1
312,3,48,1
313,3,70,1
314,3,63,1
315,3,62,1
316,3,53,2
317,3,48,1
318,3,65,2
319,3,57,1
320,3,76,2
321,3,39,2
322,3,42,2
323,3,66,2
324,3,66,2
325,3,46,2
326,3,51,2
327,3,44,1
328,3,47,2
329,3,72,2
330,3,76,1
401,4,45,2
402,4,54,2
403,4,68,1
404,4,59,2
405,4,60,2
406,3,53,2
407,4,28,2
408,4,64,1
409,4,47,2
410,4,44,2
411,4,53,2
412,4,64,1
413,4,57,2
414,4,69,2
415,4,56,2
416,4,53,1
417,4,74,2
418,3,65,1
419,3,37,2
420,4,61,1
501,1,53,1
502,1,58,2
503,1,47,2
504,1,50,2
505,1,52,2
506,1,40,2
1202,,63,2
1209,,66,1
1214,,62,1
1215,,59,1
1219,,59,2
1220,,66,1
1224,,65,2
1231,,67,1
1232,,66,2
1237,,55,2
1238,,58,2
1243,,66,2
